case_id	tool_id	dataset_id	condition_id	reference_path	comparison_mode	required_for_nonempirical	notes
digital_rads_smoke_single__D1	digital_rads	comparator_smoke_single	D1	data/synthetic/comparator_ecori_msei_smoke.fa	exact	true	Synthetic two-enzyme interval-normalization smoke comparison for Digital_RADs.py.
ddradseqtools_smoke_single__D1	ddradseqtools	comparator_smoke_single	D1	data/synthetic/comparator_ecori_msei_smoke.fa	exact	true	Synthetic two-enzyme interval-normalization smoke comparison for DDRADSEQTOOLS rsitesearch.py.
digital_rads_small_yeast_s288c_B1	digital_rads	small_yeast_s288c_plain	B1	data/reference/small_yeast_s288c.fa	exact	true	Public yeast B1 interval comparison for Digital_RADs.py.
small_yeast_s288c_B1	ddradseqtools	small_yeast_s288c_plain	B1	data/reference/small_yeast_s288c.fa	exact	true	Public yeast B1 interval comparison for DDRADSEQTOOLS rsitesearch.py.
digital_rads_small_yeast_s288c_B3	digital_rads	small_yeast_s288c_plain	B3	data/reference/small_yeast_s288c.fa	exact	true	Public yeast B3 interval comparison for Digital_RADs.py (PstI-MspI rare-frequent yeast enzyme-diversity condition).
small_yeast_s288c_B3	ddradseqtools	small_yeast_s288c_plain	B3	data/reference/small_yeast_s288c.fa	exact	true	Public yeast B3 interval comparison for DDRADSEQTOOLS rsitesearch.py (PstI-MspI rare-frequent yeast enzyme-diversity condition).
digital_rads_small_yeast_s288c_B4	digital_rads	small_yeast_s288c_plain	B4	data/reference/small_yeast_s288c.fa	exact	true	Public yeast B4 interval comparison for Digital_RADs.py (SbfI-MspI rarer-frequent yeast enzyme-diversity condition).
small_yeast_s288c_B4	ddradseqtools	small_yeast_s288c_plain	B4	data/reference/small_yeast_s288c.fa	exact	true	Public yeast B4 interval comparison for DDRADSEQTOOLS rsitesearch.py (SbfI-MspI rarer-frequent yeast enzyme-diversity condition).
digital_rads_small_yeast_s288c_B5	digital_rads	small_yeast_s288c_plain	B5	data/reference/small_yeast_s288c.fa	exact	true	Public yeast B5 interval comparison for Digital_RADs.py (MspI-MseI frequent-frequent yeast enzyme-diversity condition).
small_yeast_s288c_B5	ddradseqtools	small_yeast_s288c_plain	B5	data/reference/small_yeast_s288c.fa	exact	true	Public yeast B5 interval comparison for DDRADSEQTOOLS rsitesearch.py (MspI-MseI frequent-frequent yeast enzyme-diversity condition).
digital_rads_moderate_cannabis_pink-pepper_B2	digital_rads	moderate_cannabis_pink-pepper_plain	B2	data/reference/moderate_cannabis_pink-pepper.fa	exact	true	Medium-reference Cannabis Pink Pepper B2 interval comparison for Digital_RADs.py.
moderate_cannabis_pink-pepper_B2	ddradseqtools	moderate_cannabis_pink-pepper_plain	B2	data/reference/moderate_cannabis_pink-pepper.fa	exact	true	Medium-reference Cannabis Pink Pepper B2 interval comparison for DDRADSEQTOOLS rsitesearch.py.
