section	item	value	source	notes
environment	environment_metadata	present	results/processed/environment.txt	Captured hardware, OS, software, and git metadata. See full environment text for details.
reference_data	reference_checksums	present	results/processed/reference_checksums.tsv	Reference-data checksum table.
reference_checksum	synthetic_validation	status=exists; expected_sha256=TO_BE_FILLED; observed_sha256=7b7319e174f7f4035920d33f6913e50bf32e79530ac2f35f7254d4f20bac3291	results/processed/reference_checksums.tsv	data/synthetic/synthetic_validation.fa
reference_checksum	yeast_small	status=exists; expected_sha256=1ec41f951b35f2752d5065edeafe6972455609d4383fb36dae12519a60b27a73; observed_sha256=1ec41f951b35f2752d5065edeafe6972455609d4383fb36dae12519a60b27a73	results/processed/reference_checksums.tsv	data/reference/yeast.fa.gz
reference_checksum	moderate_genome	status=missing_no_url; expected_sha256=TO_BE_FILLED; observed_sha256=	results/processed/reference_checksums.tsv	data/reference/moderate.fa.gz
reference_checksum	sockeye_empirical	status=skipped_directory; expected_sha256=TO_BE_FILLED; observed_sha256=	results/processed/reference_checksums.tsv	data/empirical/sockeye/
reference_checksum	trichoderma_empirical	status=skipped_directory; expected_sha256=TO_BE_FILLED; observed_sha256=	results/processed/reference_checksums.tsv	data/empirical/trichoderma/
reference_checksum	simrad_smoke_single	status=exists; expected_sha256=TO_BE_FILLED; observed_sha256=e34013b39822cad5e3e8001d67747da7f692950b7cf9355b537c29f3cc742510	results/processed/reference_checksums.tsv	data/synthetic/simrad_ecori_msei_double.fa
reference_checksum	digital_rads_smoke_single	status=exists; expected_sha256=TO_BE_FILLED; observed_sha256=e34013b39822cad5e3e8001d67747da7f692950b7cf9355b537c29f3cc742510	results/processed/reference_checksums.tsv	data/synthetic/digital_rads_ecori_msei_double.fa
reference_checksum	yeast_small_plain	status=exists; expected_sha256=TO_BE_FILLED; observed_sha256=fe42735d3e6242f8c40b457a232940e34ef15eb4502717e54a34ed118face4c1	results/processed/reference_checksums.tsv	data/reference/yeast.fa
