case_id	tool_id	dataset_id	condition_id	reference_path	enzyme_1	enzyme_2	min_size	max_size	runs	timing_scope	required_for_nonempirical	notes
radigest_small_yeast_s288c_B1	radigest	small_yeast_s288c_plain	B1	data/reference/small_yeast_s288c.fa	EcoRI	MseI	100	300	3	native_digest	true	Native radigest digest anchor on small public yeast B1.
digital_rads_small_yeast_s288c_B1	digital_rads	small_yeast_s288c_plain	B1	data/reference/small_yeast_s288c.fa	EcoRI	MseI	100	300	3	raw_tool_wrapper	true	Digital_RADs.py raw wrapper timing on small public yeast B1; interval normalization is a separate comparator claim step.
ddradseqtools_small_yeast_s288c_B1	ddradseqtools	small_yeast_s288c_plain	B1	data/reference/small_yeast_s288c.fa	EcoRI	MseI	100	300	3	raw_tool_wrapper	true	DDRADSEQTOOLS rsitesearch.py raw wrapper timing on small public yeast B1; interval normalization is a separate comparator claim step.
simrad_small_yeast_s288c_B1	simrad	small_yeast_s288c_plain	B1	data/reference/small_yeast_s288c.fa	EcoRI	MseI	100	300	3	count_only_wrapper	true	SimRAD count-level timing on small public yeast B1; no coordinate-equivalence timing claim.
ddgrader_small_yeast_s288c_B1	ddgrader	small_yeast_s288c_plain	B1	data/reference/small_yeast_s288c.fa	EcoRI	MseI	100	300	3	binned_screening_wrapper	true	ddgRADer backend binned-screening timing on small public yeast B1; no coordinate-equivalence timing claim.
radigest_moderate_cannabis_pink-pepper_B2	radigest	moderate_cannabis_pink-pepper_plain	B2	data/reference/moderate_cannabis_pink-pepper.fa	EcoRI	MseI	300	600	3	native_digest	true	Native radigest digest anchor on medium public cannabis Pink Pepper B2.
digital_rads_moderate_cannabis_pink-pepper_B2	digital_rads	moderate_cannabis_pink-pepper_plain	B2	data/reference/moderate_cannabis_pink-pepper.fa	EcoRI	MseI	300	600	3	raw_tool_wrapper	true	Digital_RADs.py raw wrapper timing on medium public cannabis Pink Pepper B2; interval normalization is a separate comparator claim step.
ddradseqtools_moderate_cannabis_pink-pepper_B2	ddradseqtools	moderate_cannabis_pink-pepper_plain	B2	data/reference/moderate_cannabis_pink-pepper.fa	EcoRI	MseI	300	600	3	raw_tool_wrapper	true	DDRADSEQTOOLS rsitesearch.py raw wrapper timing on medium public cannabis Pink Pepper B2; interval normalization is a separate comparator claim step.
simrad_moderate_cannabis_pink-pepper_B2	simrad	moderate_cannabis_pink-pepper_plain	B2	data/reference/moderate_cannabis_pink-pepper.fa	EcoRI	MseI	300	600	3	count_only_wrapper	true	SimRAD count-level timing on medium public cannabis Pink Pepper B2; no coordinate-equivalence timing claim.
ddgrader_moderate_cannabis_pink-pepper_B2	ddgrader	moderate_cannabis_pink-pepper_plain	B2	data/reference/moderate_cannabis_pink-pepper.fa	EcoRI	MseI	300	600	3	binned_screening_wrapper	true	ddgRADer backend binned-screening timing on medium public cannabis Pink Pepper B2; no coordinate-equivalence timing claim.
radigest_large_wheat_chinese-spring_B2	radigest	large_wheat_chinese-spring_plain	B2	data/reference/large_wheat_chinese-spring.fa	EcoRI	MseI	300	600	3	native_digest	true	Native radigest digest anchor on true large public wheat Chinese Spring B2; required for the large-reference matched-tool timing comparison.
digital_rads_large_wheat_chinese-spring_B2	digital_rads	large_wheat_chinese-spring_plain	B2	data/reference/large_wheat_chinese-spring.fa	EcoRI	MseI	300	600	3	raw_tool_wrapper	true	Digital_RADs.py raw wrapper timing on true large public wheat Chinese Spring B2; interval normalization remains a separate comparator claim step.
ddradseqtools_large_wheat_chinese-spring_B2	ddradseqtools	large_wheat_chinese-spring_plain	B2	data/reference/large_wheat_chinese-spring.fa	EcoRI	MseI	300	600	3	raw_tool_wrapper	true	DDRADSEQTOOLS rsitesearch.py raw wrapper timing on true large public wheat Chinese Spring B2; interval normalization remains a separate comparator claim step.
ddgrader_large_wheat_chinese-spring_B2	ddgrader	large_wheat_chinese-spring_plain	B2	data/reference/large_wheat_chinese-spring.fa	EcoRI	MseI	300	600	3	binned_screening_wrapper	true	ddgRADer backend binned-screening timing on true large public wheat Chinese Spring B2; no coordinate-equivalence timing claim.
