claim_id	manuscript_section	claim	required_output	status	manuscript_artifact	notes
C01	Methods validation	Synthetic digest and coordinate cases were validated.	results/processed/synthetic_validation_results.tsv	present	table_02_synthetic_validation.tsv	Use exact pass/fail summary, not inferred counts.
C02	Matched comparisons	Digital_RADs.py matched radigest on normalized interval output.	results/processed/comparisons/digital_rads/digital_rads_smoke_single__D1.summary.tsv	present	table_03_interval_comparisons.tsv	Only valid after motif-boundary normalization.
C03	Matched comparisons	DDRADSEQTOOLS rsitesearch.py matched radigest after coordinate and seqid normalization.	results/processed/comparisons/ddradseqtools/yeast_B1.interval_compare.summary.tsv	present	table_03_interval_comparisons.tsv	Only rsitesearch.py is in scope.
C04	Runtime/memory	Matched digest-task timing was measured under defined scopes.	results/tables/tool_timing_interpretation.tsv	present	table_04_matched_timing.tsv	Cold command and warm-session timings must remain separate.
C05	Screening	ddgRADer backend and radigest screening throughput were measured.	results/tables/screening_speed_summary.tsv	present	table_05_screening_speed.tsv	ddgRADer is binned screening comparator, not interval comparator.
C06	Input format	Plain and gzipped FASTA input effects were measured.	results/tables/radigest_input_format_comparison.tsv	present	table_06_input_format.tsv	Use only as input-format control, not general performance claim.
C07	Scaling	Cannabis moderate-genome radigest runtime/RSS were measured.	results/tables/radigest_thread_scaling_summary.tsv	present	table_s02_radigest_thread_scaling.tsv	Do not claim per-digest linear scaling.
C08	Scaling	Pair-screening job-level scaling was measured on Cannabis.	results/tables/pair_screen_scaling_summary.tsv	present	table_s03_pair_screen_job_scaling.tsv	Report observed speedup and efficiency.
C09	Reproducibility	Environment metadata were captured.	results/processed/environment.txt	present	table_s01_environment.tsv	Include OS, CPU, memory, tool versions, and git status.
C10	Data	Reference-data checksums were recorded.	results/processed/reference_checksums.tsv	MISSING	table_s01_environment.tsv	Large FASTA files should not be tracked in Git.
C11	Empirical recovery	Sockeye ddRAD insert-length recovery was modelled from observed TLENs.	results/tables/sockeye_ddrad.empirical_recovery_summary.tsv	MISSING	table_08_empirical_recovery.tsv	Use as empirical recovery model validation; do not claim exact locus recovery.
C12	Empirical recovery	Trichoderma ddRAD insert-length recovery was modelled from observed TLENs.	results/tables/trichoderma_ddrad.empirical_recovery_summary.tsv	MISSING	table_08_empirical_recovery.tsv	Second empirical dataset with a different taxon and enzyme pair.
C13	Empirical recovery	Empirical recovery model choice was stable under per-sample TLEN downsampling.	results/tables/empirical_recovery_model_sensitivity.tsv	MISSING	table_s04_empirical_recovery_sensitivity.tsv	Robustness check against high-depth samples dominating pooled TLENs.
